"Acionamentos Elétricos"
"Sistemas de Computação para Automação com o uso de CLPs"
"Sistemas de Computação para Automação I"
"Sistemas de Computação para Automação II"
"Sistemas de Controle"
"Sistemas de Controle Avançado"
"Sistemas de Informação Avançados"
"Sistemas de Informação e Programação I"
"Sistemas de Informação e Programação II"
"Sistemas de Manufatura"
"Sistemas de Produção Industrial"
"Sistemas Digitais"
"Sistemas Distribuídos"
"Sistemas Embarcados"
"Sistemas Gerenciadores de Bancos de Dados"
"Sistemas Gráficos"
"Sistemas Heterogêneos"
"Sistemas Heterogêneos para Computação"
"Sistemas Integrados"
"Sistemas Inteligentes"
"Sistemas Inteligentes para Automação"
"Sistemas Microprocessados"
"Sistemas Operacionais"
"Sistemas para Internet I"
"Sistemas para Internet II"
"Sistemas Robóticos"
"Soft Skills para Engenharia"
"Software e Hardware – Sistemas de Automação Industrial"
"TE EComp: A Ind Petr, Gás e Bioc e o Ecoss Cost e Oc"
"TE EComp: Aplicada ao Setor de O & G"
"TE EComp: Computação Flexível"
"TE EComp:: Controle aplic Sist da Ind Petr, Gás e Biocomb"
"TE EComp: Tec Dig p_ Ecos Cost e Oc na Ind Petr, Gás e Bioc"
"TE MC: SEMINÁRIOS"
"TE MC: TURBULÊNCIA ATMOSFÉRICA"
"TE OB:MOD ESP-TEMP REC MAR"
"Tecnologia e Seleção de Conversores de Freqüência e Chaves Estáticas"
"Tecnologia Educacional e Assistiva"
"Tecnologias e Instalação de Cabos Elétricos"
"TEORIA DA COMPUTACAO"
"Tolerância a Falhas em Hardware e Software"
"TOP.  AVANC. EM COMPUT. II"
"TOP. AVANC. EM COMPUT. I"
"TOP. AVANC. EM COMPUT. III"
"Tópicos Avançados em Engenharia de Automação I"
"Tópicos Avançados em Engenharia de Automação II"
"Tópicos Avançados em Engenharia de Automação III"
"Tópicos Avançados em Engenharia de Computação I"
"Tópicos Avançados em Engenharia de Computação II"
"Tópicos Avançados em Engenharia de Computação III"
"Tópicos Avançados em Sistemas de Informação I"
"Tópicos Avançados em Sistemas de Informação II"
"Tópicos Avançados em Sistemas de Informação III"
"Tópicos Avançados em Sistemas Digitais e Embarcados"
"Tópicos Avançados em Sistemas Multiagentes"
"Tópicos Avançados em Sistemas para a Internet"
"Tópicos de Computação Aplicada"
"Tópicos de Fusão de Informação em Modelagem Fuzzy"
"TOPICOS EAD"
"Tópicos em Controle Avançado"
"Tópicos em Controle Avançado - EAD"
"Tópicos em Segurança Computacional"
"Tópicos em Sistemas de Acionamento"
"Tópicos em Sistemas de Automação"
"Tópicos em Sistemas de Controle Avançado"
"Tópicos em Sistemas de Informação"
"Tópicos em Sistemas de Informação - EAD"
"Tópicos em Sistemas de Informação I"
"Tópicos em Sistemas de Informação I - EAD"
"Tópicos em Sistemas de Informação II"
"Tópicos em Sistemas de Informação II - EAD"
"Tópicos em Sistemas de Manufatura"
"Tópicos em Sistemas de Produção Industrial"
"Tópicos em Sistemas Distribuídos"
"Tópicos em Sistemas Distribuídos - EAD"
"Tópicos em Sistemas Gráficos"
"Tópicos em Sistemas Gráficos - EAD"
"Tópicos em Sistemas Heterogêneos"
"Tópicos em Sistemas Heterogêneos - EAD"
"Tópicos em Sistemas Inteligentes"
"Tópicos em Sistemas Inteligentes - EAD"
"Tópicos em Sistemas Inteligentes para Automação"
"Tópicos em Sistemas Microprocessados"
"Tópicos em Sistemas para Internet"
"Tópicos em Sistemas para Internet - EAD"
"Tópicos em Sistemas Robóticos"
"Tópicos em Sistemas Robóticos - EAD"
"TOPICOS ESPECIAIS ELETRONIC"
"Tópicos Especiais em Automação"
"Tópicos Especiais em Computação"
"Tópicos Especiais em Computação - EAD"
"Tópicos Especiais em Engenharia de Automação"
"Tópicos Especiais I"
"Tópicos Especiais II"
"Trabalho de Conclusão de Curso (Esp Ciências de Dados - EaD)"
"Trabalho de Conclusão de Curso (Esp Engª Autom. e Instr)"
"Trabalho de Conclusão de Curso (Esp Engª Elétrica)"
"Trabalho de Conclusão de Curso (Esp TIC-Edu à Distância)"
"Trabalho de Final de Curso (Esp Rob Int Art)"
"Trabalho Individual (Engª de Comp)"
"Trabalho Individual (PPG Engª de Comp)"
"Transformação Digital"
"Transformação Digital - EAD"
"Tratamento de dados com técnicas de pipeline"
"Visão Computacional"
"Visualização de Informação"
"Visualização de Informação - EAD"
